1,CS,Qui est l'acteur principal de la saga cinématographique Mission Impossible?,Tom Cruise,Bruce Willis,Pierce Brosnan,Sean Connery
1,CS,Quelle est l'identité de Spiderman?,Peter Parker,Clark Kent,Bruce Banner,Sam Raimi
2,CS,Dans la série Stranger Things quel est le prénom de la mystérieuse jeune fille possédant des pouvoirs surnaturels?,Eleven,Six,Seven,Ninety
2,CS,Quel acteur interprète Iron Man dans la saga cinématographique des Marvel?,Robert Downey Jr,Chris Evans,Robert Pattinson,Anne Hathaway
2,CS,Combien d'Oscar du meilleur acteur Leonardo DiCaprio a t'il remporté?,1,2,3,0
2,CS,Dans Star Wars quel seigneur Sith est en réalité le sénateur Palpatine?,Dark Sidious,Dark Maul,Dark Vador,Dark Tyranus
3,CS,Dans la saga Harry Potter combien de Horcruxes Voldemort a t'il crée?,7,8,9,5
3,CS,Dans la série Scrubs quel est le nom du chien empaillé de JD et Turk?,Rowdy,Lassie,Rodney,Erik
3,CS,Dans la série How I Met Your Mother avec combien de femmes Ted Mosby a eu une aventure avant de finalement rencontrer la mere des ses enfants?,31,33,16,108
3,CS,Dans la série You comment s'appelle l'enfant de Joe et de Love?,Henry,John,James,Sebastian
3,CS,Dans la série How I Met Your Mother combien de baffes Marshall distribue à Barney suite à un pari?,5,10,15,35
2,CS,Dans la série Mindhunter quel est le nom du protagoniste agent du FBI chargé d'interroger les criminels ?,Olden Ford,Olden Nissan,Oldel Paso,Olden Fiat
3,CS,Dans quel pays les 8 protagonistes de la série Sense8 se rassemblent physiquement pour la premiere fois?,France,Etats Unis,Mexique,Angleterre
1,CS,Dans quelle celèbre comédie Thierry Lhermitte et Jacques Villeret se donnent la réplique?,Le diner de cons,Gazon maudit,Expendables,Les bronzés
1,CS,Quel film est une adaptaption fictive de l'histoire du rappeur Eminem?,8 Mile,Réussir ou mourir,Scary Movie,Fonzi
2,CS,Dans le film Vice Versa de quelle couleur est Tristesse?,Bleue,Rouge,Verte,Violette
3,CS,Dans le film Luca quel objet est convoité par Luca et Alberto?,Une Vespa,Une Bugatti,Baguette magique,Une fusée
1,CS,Quel est le vrai nom de l'élu Néo dans Matrix?,Anderson,Smith,Reeves,Alvarez
3,CS,"Dans le film ""Tout ce qui brille"" dans quelle ville habitent les 2 protagonistes?",Puteaux,Paris,Aubervilliers,Melun
2,CS,Dans le film d'animation Alterte Rouge en quel animal se transforme Mei Lee lorsqu'elle a de fortes émotions?,Panda roux,Renard,Papillon,Chat
1,CS,"Dans Toy Story quel personnage a pour devise ""Vers l'infini et au dela !""",Buzz,Woody,Mr Patate,Siffly
1,CS,Dans le Loup de Wall Street qui interprète le protagoniste Jordan Belfort?,Di Caprio,Bruce willis,Will Smith,Brad Pitt
2,CS,Combien de saisons comporte la série The Walking Dead?,11,10,8,16
1,CS,Dans quel film une cassette vidéo tue tous ceux qui la regarde?,The Ring,Lord of The ring,Saw,Budapest Hotel
1,CS,Dans quelle série enquêtent 2 agents de la DEA sur Pablo Escobar?,Narcos,Cartel,Elite,Casa de Papel
1,CS,Dans Prison Break sur quelle partie du corps le protagniste s'est tatoué le plan de la prison?,Dos,Bras,Ventre,Cuisse
2,CS,Dans Big Bang Theory comment s'appelle la femme de Sheldon?,Amy,Penny,Leonard,Bernadette
3,CS,Quelle série lancée en 2013 est connue pour etre la premiere série Netflix?,House of Cards,Stranger Things,The Crown,Black Mirror
3,CS,Dans Orange is the New Black quel est le surnom du surveillant Mendez?,Pornstache,Mendy,StarLord,Hornstache
2,CS,Quel artiste est utilisé pour les masques dans La Casa de Papel?,Dali,Picasso,Van Gogh,Monet
1,HG,Quelle est la capitale des Etats-Unis?,Washington DC,New York,Los Angeles,San Francisco
1,HG,En quelle année fut signée l'armistice de la premiere guerre mondiale?,1918,1917,1945,1911
2,HG,En quelle année Charlemagne fut il sacré empereur?,800,750,900,1000
2,HG,En quelle année le mur de Berlin a t'il été démoli?,1989,1991,1983,1958
2,HG,Quelle est la capitale du Brésil?,Brasilia,Rio de Janeiro,Buenos Aires,Santiago
2,HG,A quel pays actuel correspond l'Empire Ottoman?,Turquie,Iran,Serbie,Roumanie
3,HG,Quel était jusqu'en 1972 l'ancien nom du Sri Lanka ?,Ceylan,Tambapanni,Myanmar,Lankris
1,HG,Quel est le monument le plus visité au monde?,La tour Eiffel,Tower Bridge,Taj Mahal,Fontaine de Trévi
2,HG,Que represente le C de l'UNESCO?,Cultural,Car,Coal,Candidate
1,HG,En quelle année ont eu lieu les attentats du 11 septembre?,2001,2011,1999,2002
2,HG,Avec quel pays la France partage sa plus longue frontière terrestre ?,Brésil,Surinam,Allemagne,Espagne
3,HG,Combien de cantons comporte la Suisse?,26,8,17,13
2,HG,Sous quel nom est plus connu Jean Baptiste Poquelin?,Molière,Mozart,Matt Pokora,Shakespeare
3,HG,En quelle année chute l'empire Romain?,476,513,458,523
1,HG,En quelle année avant JC Vecingétorix fut vaincu à Alésia?,52,48,152,35
3,HG,Quel est le plus long fleuve traversant la France?,Rhin,Rhone,Loire,Garonne
3,HG,Quel est le premier homme occidental a etre arrivé en Chine?,Marco Polo,Magellan,Behring,Jules Verne
1,HG,Dans quelle ville a eu lieu le proces ou les nazis furent jugés?,Nuremberg,Berlin,Aushwitz,Paris
1,HG,Qui a dessiné l'Homme de Vitruve?,De vinci,Michel Ange,Elon Musk,Van Gogh
3,HG,En quelle année la Loi Veil dépénalisant l'avortement entre en application en France?,1975,1968,1970,1981
3,HG,Ou a été construite la premiere université du monde en 859?,Fès,Oxford,Paris,Le Caire
3,HG,Quel pays est le berceau du bouddhisme?,Inde,Tibet,Chine,Cambodge
2,HG,Quel héros grec a tué le Minotaure?,Thésée,Persée,Chronos,Kratos
1,HG,Quelle est la capitale de l'Inde?,New Delhi,Bombay,Calcutta,Bogota
3,HG,Quelle est la capitale du Venezuela?,Caracas,Buenos Aires,San José,Acapulco
2,HG,Dans la mythologie égyptienne qui est le dieu de le mort?,Osiris,Anubis,Horus,Ra
1,HG,Quelle est la capitale du Japon?,Tokyo,Kyoto,Osaka,Shangaï
3,HG,En quelle année l'Algérie est devenue indépendante?,1962,1964,1968,1958
2,HG,Quelle est la capitale de la Turquie?,Ankara,Istanbul,Izmir,Sofia
1,HG,Quelle est la capitale du Maroc?,Rabat,Marrakech,Casablanca,Oran
1,HG ,Quelle est la capitale de la Suisse?,Berne,Genève,Zurich,Lausanne
1,JV,Quel est la couleur du pokémon emblématique de la série du meme nom Pikachu?,Jaune,Rouge,Vert,Violet
2,JV,Combien de volets la Saga God of War comporte-t-elle ?,4,3,2,5
3,JV,Quel est le nom de code du tueur a gage incarné dans la saga Hitman?,Agent 47,Agent 007 ,Agent 18,Agent 0
3,JV,En quelle année fut developpé le tout premier jeu vidéo de l'histoire Tennis For Two?,1958,1960,1956,1974
